id,title,type
1,In Swing,balls_type
2,Out Swing,balls_type
3,Bouncer,balls_type
4,Cutter,balls_type
5,Reverse Swing,balls_type
6,Arm Ball,balls_type
7,Doosra,balls_type
8,Flipper,balls_type
9,Googly,balls_type
10,Carrom,balls_type
11,TopSpinner,balls_type
12,Leg Spin,balls_type
13,Off Spin,balls_type
14,Chinaman,balls_type
15,Dipper,balls_type
16,Drift,balls_type
17,Flighted,balls_type
18,Back Spin,balls_type
19,Grubber,balls_type
20,Straighter,balls_type
21,Cut,batting_shot
22,Late Cut,batting_shot
23,Square Cut,batting_shot
24,Scoop,batting_shot
25,Leg Glance,batting_shot
26,Sweep,batting_shot
27,Reverse Sweep,batting_shot
28,Hook,batting_shot
29,Pull,batting_shot
30,Straight Drive,batting_shot
31,Off Drive,batting_shot
32,Cover Drive,batting_shot
33,Square Drive,batting_shot
34,On Drive,batting_shot
35,Back Foot Drive,batting_shot
36,Edge,batting_shot
37,Attack,batting_shots_how
38,Defend,batting_shots_how
39,Leave,batting_shots_how
40,Gentle Shot,batting_shots_how
41,Back Foot,batting_shots_how
42,Front Foot,batting_shots_how
47,Wide Off Stump,ball_line
48,Outside Off Stump,ball_line
49,Stumps,ball_line
50,Down Leg Stump,ball_line
51,Wide Down Leg Stump,ball_line
52,Beamer,ball_length
53,Yorker,ball_length
54,Full Toss,ball_length
55,Full Length,ball_length
56,Good Length,ball_length
57,Short of Length,ball_length
58,Over Pitched,ball_length
59,Fine Leg Region,fielding_region
60,Square Leg Region,fielding_region
61,Wid-Wicket Region,fielding_region
62,Long On Region,fielding_region
63,Long Off Region,fielding_region
64,Cover Region,fielding_region
65,Point Region,fielding_region
66,Third-man Region,fielding_region
